,index,CASE,A501x01,A501x02,A501x03,A501x04,A501x05,A501x06,A501x07,A501x08,A501x09,A501x10,translated_words,DAT
22,24.0,600,Fußball,Oktopus,Großmutter,Sessel,Fahrradtour,Joint,Saxophon,Bahnhaltestelle,Orchidee,Schublade,"['football', 'Octopus', 'grandmother', 'Armchair', 'Bike tour', 'joint', 'saxophone', 'Train station', 'orchid', 'Drawer']",88.84402
23,25.0,603,Taschenrechner,Banane,Trinkflasche,Handyhülle,Tapete,Muttermal,Bettdecke,Zahl,Balken,Kreditkarte ,"['calculator', 'banana', 'Drinking bottle', 'Phone case', 'wallpaper', 'birthmark', 'Duvet', 'Number', 'bar', 'Credit card']",86.49481
24,26.0,608,Auto,Balkon,Fußboden,Sonnenliege,Verstand,Leber,Rose,Putzlappen,Rinde,Bratwurst,"['automobile', 'balcony', 'floor', 'Sun lounger', 'understanding', 'liver', 'rose', 'cleaning rags', 'bark', 'bratwurst']",82.591835
25,27.0,612,Haus,Auto,Idee,Buch,Wetter,See,Liebe ,Bekleidung,Glück,Kunst,"['House', 'automobile', 'idea', 'Book', 'Weather', 'lake', 'Love', 'clothing', 'Luck', 'Art']",71.542206
26,28.0,615,Haus,Baum,Hund,Turnhalle,Drucker,Strand,Wolle,Stift,Grün,Ball,"['House', 'Tree', 'Dog', 'gym', 'Printer', 'Beach', 'Wool', 'Pen', 'Green', 'ball']",75.97499
27,29.0,617,Vokabular,Gefahr,Freude,Chemie,Kirche,Liste,Abfahrt,Streit,Banane,Küche,"['vocabulary', 'Danger', 'Joy', 'Chemistry', 'Church', 'list', 'Departure', 'Fight', 'banana', 'Kitchen']",80.36229
28,30.0,620,Wasser,Handball,Stern,Haare,Fenster,Gesellschafter,Schlange,Socken,Rechner,Birke,"['Water', 'Handball', 'star', 'Hair', 'Window', 'Shareholders', 'Snake', 'Socks', 'calculator', 'birch']",87.41379
29,31.0,624,Farbe,Ästhtetik,Qualität,Erfolg,Nutzen,Neugierde ,Arbeitslosigkeit,Frieden,Kirche,Nachtschlaf,"['Color', 'Aesthetics', 'Quality', 'Success', 'To use', 'curiosity', 'unemployment', 'Peace', 'Church', 'Night sleep']",77.69623
30,32.0,629,Hose,Kreide,iPad ,Teppich,Baum,Auto,Gesicht,Hund,Treten,Schuss,"['trousers', 'chalk', 'iPad', 'Carpet', 'Tree', 'automobile', 'Face', 'Dog', 'Step', 'shot']",77.22621
31,33.0,654,Liebe,Straße,Mathe,Wolke,Handy,Blatt,Lampe,Land,Krebs,Bunt,"['Love', 'Street', 'maths', 'Cloud', 'mobile', 'Sheet', 'lamp', 'country', 'Cancer', 'Colorful']",82.31926
32,34.0,657,Bruttosozialprodukt,Birke,Stabhochsprung,Theorie,Luftdruck,Krematorium,Sehnsucht,Garnitur,Tapete,Tonspur,"['Gross national product', 'birch', 'Pole vault', 'theory', 'Air pressure', 'crematorium', 'Longing', 'set', 'wallpaper', 'soundtrack']",87.95797
33,36.0,659,Kerze,Berg,Toilette,Fahrrad,Hausschuh,Hagel,Darm,Huhn,Erdbeere,Alien,"['Candle', 'Mountain', 'Toilet', 'Bicycle', 'slipper', 'hail', 'Colon', 'Chicken', 'strawberry', 'Alien']",83.10153
34,37.0,661,Berlin,Wellensittich,Küche,Nadelstreifenanzug,Golfschläger,Theorie,Verantwortung,Bronze,Gabelstapler,Schwäche,"['Berlin', 'Budgerigar', 'Kitchen', 'Pinstripe suit', 'Golf clubs', 'theory', 'Responsibility', 'Bronze', 'Forklift', 'weakness']",92.68795
35,38.0,665,Banane,Hängematte,Musik,Blau,Freude,Haare,Ethnie,Lebenserfahrung,Kuscheln,Fesseln,"['banana', 'hammock', 'Music', 'Blue', 'Joy', 'Hair', 'Ethnicity', 'life experience', 'Cuddle', 'Tie up']",80.428345
36,39.0,666,Salat,Beton,Kirche,Bettenlager,Salami,Quadratwurzel,Unterwäsche,Wasserglas,Angelrute,Wimpernlifting,"['salad', 'concrete', 'Church', 'Bed storage', 'salami', 'square root', 'underwear', 'Water glass', 'rod', 'Eyelash lifting']",88.44475
37,40.0,669,Universum ,Kiste ,Luft ,Kieselstein,Vorbereitung ,Prokrastination,Käfer ,Hai,Langeweile ,Stress ,"['universe', 'Box', 'Air', 'pebble', 'Preparation', 'Procrastination', 'Beetle', 'Shark', 'boredom', 'stress']",87.7687
38,41.0,673,Baum,Eis,Hund,Schuh,Jacke,Haare,Kaffee,Tennis,Flugzeug,Ball,"['Tree', 'Ice', 'Dog', 'shoe', 'Jacket', 'Hair', 'Coffee', 'tennis', 'Airplane', 'ball']",70.87654
39,42.0,676,Baum,Computer,Penis,Reis,Stein,Pflaume ,Krone,Epilierer,Pilz,Filz,"['Tree', 'computer', 'penis', 'rice', 'Stone', 'plum', 'Crown', 'epilator', 'Mushroom', 'felt']",78.10169
40,43.0,685,Plebiszit,Tellermine,Larmoyanz,Ästhetik,Universalismus,Charakterstärke,Weltschmerz,Durchsetzungsvermögen,Globus,Zivildienst,"['plebiscite', 'landmine', 'Sentimental', 'aesthetics', 'Universalism', 'Strength of character', 'World Pain', 'Assertiveness', 'globe', 'Community service']",87.45672
41,44.0,688,Baum,Versicherung,Fuß,Golf,Moral,Farbe,Hass,Gott,Seestern,Windrad,"['Tree', 'Insurance', 'Foot', 'golf', 'Moral', 'Color', 'hate', 'God', 'starfish', 'windmill']",80.172714
42,46.0,690,Arzt,Müllabfuhr,Kino,Heizung,Tulpe,Ritterburg,Tasse,Rutsche,Bibel,Aristokratie,"['Physician', 'Garbage collection', 'movie theater', 'Heating', 'tulip', 'Knights Castle', 'Cup', 'slide', 'Bible', 'aristocracy']",90.511086
43,48.0,696,Eisenstange,Pferdewiese,Computer,Strohhalm,Liebe,Schach,Kies,Wolke,Fliesenleger,Brezel,"['iron bar', 'Horse meadow', 'computer', 'drinking straw', 'Love', 'Chess', 'gravel', 'Cloud', 'Tiler', 'pretzel']",90.501335
44,50.0,716,Geige,Wohnung,Schreibtisch,Arbeit,Universität,Lebensmittel,Kutlur,Musik,Freundschaft,Liebe,"['violin', 'Apartment', 'Desk', 'Work', 'university', 'Groceries', 'Culture', 'Music', 'Friendship', 'Love']",78.96318
45,51.0,717,Baum,Nase,Vertrauen,Schalter,Entzündung,Wasser,Wettlauf,Geschichte,Anstand,Tinte,"['Tree', 'Nose', 'Trust', 'Switch', 'inflammation', 'Water', 'race', 'Story', 'Decency', 'ink']",80.40826
46,52.0,719,Pinguin,Vodka,Insel,Tee,Wüstensand,Sonnenuntergang,Staatsexamen,Buchenhecke,Tischler,Fußball,"['penguin', 'Vodka', 'Island', 'tea', 'Desert sand', 'sunset', 'State examination', 'Beech hedge', 'Carpenter', 'football']",80.6088
47,53.0,721,Lexikon ,Igel,Torte ,Ski ,Lied,Bus,Decke,Gebet,Boden,Gelbstich ,"['Dictionary', 'Hedgehog', 'cake', 'ski', 'song', 'bus', 'Ceiling', 'prayer', 'Floor', 'Yellow tint']",86.03765
48,54.0,722,Katze,Schraubenzieher,Banane,Flugzeug,Stein,Geldschein,Plastikschüssel,Dachdecker,Stromleitung,Leder,"['Cat', 'screwdriver', 'banana', 'Airplane', 'Stone', 'banknote', 'Plastic bowl', 'roofer', 'power line', 'leather']",87.44658
49,55.0,726,Zug,Berg,Fluss,Ball,Wassermelone ,Kuh,Wohnung,Flugzeug,Mathematik ,Stern,"['Train', 'Mountain', 'Flow', 'ball', 'Watermelon', 'Cow', 'Apartment', 'Airplane', 'mathematics', 'star']",79.663605
50,56.0,729,Hose ,Banane ,Tisch ,Flugzeug,Regenschirm ,Haus ,Elefant ,Blume ,Fußball ,Kopf ,"['trousers', 'banana', 'Table', 'Airplane', 'umbrella', 'House', 'elephant', 'flower', 'football', 'Head']",76.25031
51,57.0,735,Baum,Motorrad,Teilchenbeschleuniger,Sandburg,Gleichstellungsbeauftragte,Sprachmemo,Abrieb,Lederale,Markierung,Andacht,"['Tree', 'motorcycle', 'Particle accelerator', 'Sandcastle', 'Equal Opportunities Officer', 'Voicemail', 'Abrasion', 'Leatherale', 'mark', 'Devotion']",92.13204
52,59.0,744,Medizin ,Haus ,Familie,Magie,Sport ,Liebe,Musik,Canelloni,Zeltlager ,Noten,"['medicine', 'House', 'Family', 'magic', 'Sports', 'Love', 'Music', 'Cannelloni', 'Campsite', 'Grades']",68.359085
53,60.0,750,Sonne,Auto,Schirm,Schlüssel,Feminismus ,Geburtstag ,Gesang,Wolle,Taschenlampe,Herausforderung ,"['Sun', 'automobile', 'umbrella', 'Key', 'feminism', 'Birthday', 'singing', 'Wool', 'flashlight', 'Challenge']",83.31935
54,61.0,755,Hass,Frieden,Baumhaus,Lackschuh,Erfrischungsgetränk,Musik,Stahlbetonwerk,Alien,Legislaturperiode,Temperatur,"['hate', 'Peace', 'tree house', 'Patent leather shoe', 'drink', 'Music', 'Reinforced concrete plant', 'Alien', 'Legislative', 'temperature']",81.715866
55,62.0,758,Stamm,Wal,Müllabfuhr,Fußballschuh,Strafe,Reifen,Erleuchtung,Handeln,Krankheit,Nihilismus,"['tribe', 'whale', 'Garbage collection', 'Football shoe', 'Penalty', 'Tires', 'Enlightenment', 'Act', 'Illness', 'nihilism']",84.73398
56,63.0,759,Stuhl,Begonie,Kalkstein,Rolladen,Hantel,Außenmauer,Muräne,Radiergummi,Fliegenpilz,Sarg,"['Chair', 'begonia', 'limestone', 'shutters', 'dumbbell', 'Outer wall', 'Moray', 'Eraser', 'Fly agaric', 'coffin']",89.88639
57,64.0,762,Bus,Rasenmäher,Struktur,Teppich,Fleischknödel,Perfektionismus,Smartphone,Katze,Horror,Lebenslauf,"['bus', 'mowing machine', 'structure', 'Carpet', 'Meat dumplings', 'perfectionism', 'smartphones', 'Cat', 'horror', 'CV']",90.209114
58,65.0,764,Stift,Buch,Zigarette,auto,regen,haus,pferd,telefon,balkon,adler,"['Pen', 'Book', 'Cigarette', 'automobile', 'rain', 'a house', 'horse', 'phone', 'balcony', 'Eagle']",79.20197
59,67.0,768,Buch,Stuhl,Fisch,Roller,Sonne,Asien,Kohlebergwerk,Telefon,Winterjacke,Laptop,"['Book', 'Chair', 'Fish', 'Scooters', 'Sun', 'Asia', 'Coal mine', 'phone', 'winter jacket', 'Laptop']",89.48617
60,68.0,769,Haus,Sprung,Nilpferd,Planet,Gold,Wut,Adverb,Liebe,Baum,Farbe,"['House', 'Leap', 'hippo', 'planet', 'gold', 'Fury', 'adverb', 'Love', 'Tree', 'Color']",85.794
61,69.0,771,Architektur,Monarchien ,haus ,Linguistik,Öl,kühlschrank ,Staubsauger ,Insekten ,Spielplatz ,Sprung,"['architecture', 'Monarchies', 'a house', 'linguistics', 'oil', 'refrigerator', 'Vacuum cleaner', 'insects', 'playground', 'Leap']",89.32981
62,70.0,772,Dachziegel,Kühlschrank,Computer ,Mond,Himbeerstrauch,Klapperschlange,Bein,Treppe,Zwerg,Kolben,"['Roof tiles', 'Refrigerator', 'computer', 'moon', 'Raspberry bush', 'rattlesnake', 'leg', 'Stairs', 'Dwarf', 'Pistons']",81.99218
63,71.0,773,hund,tisch,auto,blume,staubsauger,vogel,fisch,strand,berge,getränk,"['dog', 'table', 'automobile', 'flower', 'vacuum cleaner', 'bird', 'fish', 'beach', 'mountains', 'drink']",71.41684
64,74.0,782,Apfel,Bildfläche,Dach,Eberesche,Finanzierung,Grünspecht,Hausbau,Imker,Klammer,Mond,"['Apple', 'Image area', 'Roof', 'rowan', 'financing', 'Green Woodpecker', 'House building', 'beekeeper', 'bracket', 'moon']",91.51076
65,75.0,783,Tod,Apfel,Spirituell,Frieden,Freiheit,Erbarmen,Sexualität,Intersektionalität,Kindergarten,Ruhe,"['Death', 'Apple', 'Spiritual', 'Peace', 'Freedom', 'mercy', 'sexuality', 'Intersectionality', 'kindergarten', 'Quiet']",66.58159
66,76.0,784,Marketing,Blog,Reise,Zug,Schreiben,Stadt,Arbeit,Muschel,Schwimmen,Hund,"['marketing', 'Blog', 'Trip', 'Train', 'Write', 'City', 'Work', 'shell', 'To swim', 'Dog']",69.88082
67,77.0,785,Vogel,Plannungssicherheit,Bierflasche,Plüsch,Hocker,Steuererklräung,Wärmepumpe,Käse,Stuhl,Gläserei,"['Bird', 'security', 'bottle', 'Plush', 'stool', 'Tax return', 'Heat pump', 'Cheese', 'Chair', 'Glassworks']",76.91417
68,78.0,786,Musik,Essen,Urlaub,Nacht,Chemielabor,Montag,Computer,Studium,Selbstständigkeit,Umwelt,"['Music', 'Eat', 'Vacation', 'Night', 'Chemistry laboratory', 'Monday', 'computer', 'Studies', 'independence', 'Environment']",77.89572
69,79.0,790,Kompetenz,Aufstiegsmöglichkeiten,Flexibilität,Resilienz,Neutralität,Rethorik,Kunst,Herausforderung,Fairness,Konsequenz,"['competence', 'Opportunities for advancement', 'flexibility', 'Resilience', 'neutrality', 'Rhetoric', 'Art', 'Challenge', 'fairness', 'consequence']",72.25484
70,80.0,791,Stuhl,Dach,Teich,Fliegen,Schlaf,Hund,Efeu,Berg,Schraube,Wolke,"['Chair', 'Roof', 'Pond', 'Fly', 'Sleep', 'Dog', 'ivy', 'Mountain', 'screw', 'Cloud']",74.5468
71,81.0,794,Staat,Bürger,Medizin ,Gesundheit,Kreativität ,Bauern,Politik,Himmel ,Erde ,Feuer,"['Country', 'Citizens', 'medicine', 'Health', 'creativity', 'farmers', 'politics', 'Heaven', 'Earth', 'Fire']",64.188675
72,82.0,798,Kaktus ,Mama,Beteiligungsplattform,Vorlesungssaal,Kaffee,Schraubenzieher,Armut,Riesenrad,Hängematte,Demokratie,"['cactus', 'mummy', 'Participation platform', 'Lecture Hall', 'Coffee', 'screwdriver', 'Poverty', 'Ferris wheel', 'hammock', 'democracy']",86.59264
73,83.0,800,Aufgabe,Aufsatz,Licht,Größe,Fußabdruck,Boden,Welt,Bewegung,Gerät,Werk,"['Task', 'Essay', 'Light', 'Size', 'footprint', 'Floor', 'World', 'Movement', 'Device', 'plant']",77.39352
74,84.0,802,Weiher ,Wetter ,Wein,Gulasch ,Baum ,Quatsch , Masse ,Weihnachten ,Hagelschaden ,Closchüssel ,"['Pond', 'Weather', 'Wine', 'goulash', 'Tree', 'Nonsense', 'Dimensions', 'Christmas', 'Hail damage', 'toilet bowl']",85.71822
75,85.0,804,Sommer,Schnee,Wachskerze,Spülmittel,Stiletto,Videokasette,Fahrrad,Katzengras,Rotwein,Unkraut,"['Summer', 'Snow', 'candle', 'detergent', 'Stiletto', 'Videocassette', 'Bicycle', 'Cat grass', 'red wine', 'weed']",86.10712
76,86.0,805,Sonne,Schreibtisch,Psychologie ,Erfahrungen,Auto,Staubsauger,Regenbogen,Mädchen,Visitenkarte,Taschentuch,"['Sun', 'Desk', 'psychology', 'Experiences', 'automobile', 'Vacuum cleaner', 'Rainbow', 'Girl', 'Business card', 'Handkerchief']",80.61912
77,87.0,809,Wasserfall,Teppich ,Hunger,Wärme,Traum,Spiegel,Gesundheit,Fehler,Fahrgeschäft,Beleidigung,"['waterfall', 'Carpet', 'hunger', 'warmth', 'Dream', 'Mirror', 'Health', 'Mistake', 'Ride', 'Insult']",79.63931
78,88.0,810,tisch,fernseher,teppich,Ladekabel,glas,lampe,kerze,decke,jacke,schuh,"['table', 'TV', 'carpet', 'Charging cable', 'glass', 'lamp', 'candle', 'ceiling', 'jacket', 'shoe']",64.17169
79,93.0,820,Laptop,Ziege,Radiergummie,Rapper,Schnitzel,Mond,Illum,Relativitätstheorie,Macht,Feuer,"['Laptop', 'Goat', 'Eraser', 'rapper', 'Schnitzel', 'moon', 'illum', 'theory of relativity', 'Power', 'Fire']",88.39678
80,94.0,822,Stuhl,Wetter,Hund,Erde,Spielplatz,Kind,Foto,Prozent,Kaffee,Geld,"['Chair', 'Weather', 'Dog', 'Earth', 'playground', 'child', 'photo', 'percent', 'Coffee', 'Money']",74.07189
81,95.0,823,Sport,Vertrauen,Abfall,Bett,Rose,Buch,E-Bike,Winkel,Zehe,Tisch,"['Sports', 'Trust', 'Waste', 'Bed', 'rose', 'Book', 'E bike', 'angle', 'toe', 'Table']",82.55747
82,97.0,825,Hund,Himmel,Sarg,Obst,Handy,Uhrzeit,Wahrheit,Pyramide,Demokratie,Antarktis,"['Dog', 'Heaven', 'coffin', 'Fruit', 'mobile', 'time', 'Truth', 'pyramid', 'democracy', 'Antarctic']",74.90937
83,98.0,826,Baum,Wurst,Radiergummi,Ziegelstein,Zeitung,Babyhochstuhl,Schokolade,Krankenhaus,Graben,Kohlensäuresprudler,"['Tree', 'Sausage', 'Eraser', 'Brick', 'Newspaper', 'Baby highchair', 'Chocolate', 'hospital', 'dig', 'Carbon dioxide maker']",81.68779
84,99.0,827,Koriander,Maulwurf,Kruzifix,Abbiegespur,Landratsamt,Bongwasser,Dübel,Orbit,Sohle,Streaming,"['coriander', 'mole', 'crucifix', 'Turning lane', 'court House', 'Bong water', 'Dowel', 'orbit', 'sole', 'Streaming']",89.84477
85,101.0,830,Apfel,Fisch,Baum,Fahrrad,Ticket,Wolke,Wasser,Gitarre,Herz,Zigarette,"['Apple', 'Fish', 'Tree', 'Bicycle', 'ticket', 'Cloud', 'Water', 'guitar', 'Heart', 'Cigarette']",75.496544
86,102.0,832,Haus,Aktien,Studium,Blume,Urlaub,Wasser,Toleranz,Notizheft,Gesundheit,Wahrnehmung,"['House', 'Shares', 'Studies', 'flower', 'Vacation', 'Water', 'tolerance', 'notebook', 'Health', 'perception']",80.85568
87,103.0,838,Brot,Eierschalenseubruchstellenverursacher,Gold,Schraubenschlüssel,Aristokratie,Videospiel,Clown,Intimität,Magma,Axolotl,"['Bread', 'Eggshell breakage cause', 'gold', 'Wrench', 'aristocracy', 'Video game', 'clown', 'intimacy', 'magma', 'Axolotl']",89.399254
88,104.0,840,Essen ,Auto ,Klamotten ,Dusche ,Arbeit ,Wärme,Boden ,Decke ,Fuß ,Straßenbahn ,"['Eat', 'automobile', 'Clothes', 'Shower', 'Work', 'warmth', 'Floor', 'Ceiling', 'Foot', 'tram']",73.34869
89,105.0,841,Baum,Haus,Nudeln,Pinsel,Bett,Wolken,Computer,Gedanken,Hass,Mathematik,"['Tree', 'House', 'Pasta', 'Paint brush', 'Bed', 'Clouds', 'computer', 'Thoughts', 'hate', 'mathematics']",78.584274
90,106.0,842,Mäppchen,Fisch,Salatkopf,Schreibtisch,Rührgerät,Hut,Sattel,Tennisschläger,Klavier,Bettwäsche,"['pencil case', 'Fish', 'Head of lettuce', 'Desk', 'mixer', 'cap', 'saddle', 'Tennis racket', 'Piano', 'Bed linen']",86.686066
91,107.0,854,Pferd,Duden,Molekül,Ananas,Auto,Deo,Luftmatratze,Stethoskop,Flagge,Brunnen,"['Horse', 'Dictionary', 'molecule', 'pineapple', 'automobile', 'Deodorant', 'air mattress', 'stethoscope', 'flag', 'Spring']",88.44005
92,109.0,862,Meerjungfrau,Rubbellos,pädophilie,Sarkasmus,Apfel,Wahlurne,Bambus,Formel,Knast ,Kotze,"['Mermaid', 'Scratchcard', 'pedophilia', 'sarcasm', 'Apple', 'Ballot box', 'bamboo', 'formula', 'Prison', 'puke']",91.04242
93,110.0,867,Salatschüssel ,Dachs ,Flugzeug ,Mikroskop ,Zahl,Surfboard ,Bier,Opa,Rundfunk ,Ring ,"['Salad bowl', 'Badger', 'Airplane', 'microscope', 'Number', 'Surfboard', 'Beer', 'Grandpa', 'broadcast', 'ring']",86.608055
94,111.0,872,Strandkorb,Müsli,Markthalle,Teleskop,Baum,Lagerfeuer,Kamera,Physik,Buch,Insel,"['Beach chair', 'Muesli', 'Market Hall', 'telescope', 'Tree', 'Campfire', 'camera', 'physics', 'Book', 'Island']",86.596214
95,112.0,874,Solartechnologie,Vogelfutter,Herbst,Universum,Gehsteig,Freiheit,Musikinstrument,Buch,Gericht,Mitgefühl,"['Solar technology', 'Bird food', 'Autumn', 'universe', 'pavement', 'Freedom', 'musical instrument', 'Book', 'Court', 'compassion']",80.960014
96,113.0,875,Haus,Stift,Auto ,Name,Himmel ,Anwalt ,Briefmarke ,Kaffee,Urlaub ,Turban ,"['House', 'Pen', 'automobile', 'Surname', 'Heaven', 'Attorney', 'Stamp', 'Coffee', 'Vacation', 'turban']",83.355125
97,114.0,879,Zug,Fruchtblase,Schraubenzieher ,Limette,Schauspielerin,Schrebergarten,Insel,Wachs,Innentasche,Scheuklappen,"['Train', 'Amniotic sac', 'screwdriver', 'lime', 'actress', 'Allotment garden', 'Island', 'wax', 'Inside pocket', 'Blinders']",90.109856
98,115.0,882,Konzert,Motorhaube,Rasen,Geschmack ,Shisha,Klopapier,Brille,Zehennagel ,Bowlingpin,Fensterbrett,"['concert', 'Engine Hood', 'grass', 'taste', 'Hookah', 'toilet paper', 'Glasses', 'toenail', 'bowling pin', 'windowsill']",83.082054
99,116.0,883,Tod,Lakritz ,Insel,Pyjama,Mond,Luftblase ,Sofa,Antike ,Hörbuch,Pestizid,"['Death', 'licorice', 'Island', 'Pajamas', 'moon', 'air bubble', 'sofa', 'Antiquity', 'Audiobook', 'Pesticide']",83.94011
100,117.0,885,Apfel,Erde,Welle,Vorname,Computer,E-Mail,Papier,Maus,Wolke,Bleistift,"['Apple', 'Earth', 'Wave', 'First name', 'computer', 'e-mail', 'Paper', 'Mouse', 'Cloud', 'Pencil']",84.86749
101,118.0,888,Tasse,Wolke,Baum,Straße,Buch,Computer,Auto,Pullover,Regenschirm,Fenster,"['Cup', 'Cloud', 'Tree', 'Street', 'Book', 'computer', 'automobile', 'pullover', 'umbrella', 'Window']",80.70609
